Round,Accuracy,Total communication counts,Selected Clients,GRC Weight - Loss,GRC Weight - Diff,Elapsed Time (s),Parameter Usage,FLOPs
271,80.45,1084,"0,2",0.5741028962998495,0.42589710370015055,565.31,15002560,761537100000
272,71.19,1088,"2,7",0.4266742787373903,0.5733257212626097,567.42,15057920,764347200000
273,68.37,1092,"7,8",0.5278288486962859,0.4721711513037141,569.53,15113280,767157300000
274,76.82,1096,"1,3",0.23040354283499928,0.7695964571650007,571.61,15168640,769967400000
275,75.51,1100,"4,2",0.40226925747644476,0.5977307425235553,573.7,15224000,772777500000
276,68.24,1104,"8,2",0.5072627772577722,0.4927372227422278,575.77,15279360,775587600000
277,76.63,1108,"5,0",0.5098473706744835,0.49015262932551645,577.85,15334720,778397700000
278,74.05000000000001,1112,"8,6",0.3353555178515842,0.6646444821484159,579.93,15390080,781207800000
279,74.78,1116,"2,6",0.7079766830863232,0.29202331691367683,582.01,15445440,784017900000
280,75.87,1120,"4,0",0.43775745844736325,0.5622425415526368,584.1,15500800,786828000000
281,67.83,1124,"6,2",0.4016998769287144,0.5983001230712856,586.18,15556160,789638100000
282,69.61,1128,"6,5",0.6265039328383456,0.3734960671616544,588.26,15611520,792448200000
283,70.94,1132,"7,6",0.45909794682738336,0.5409020531726166,590.35,15666880,795258300000
284,73.72,1136,"3,6",0.5174154304251755,0.4825845695748246,592.44,15722240,798068400000
285,75.86,1140,"4,1",0.5831136135040279,0.41688638649597215,594.52,15777600,800878500000
286,75.1,1144,"7,4",0.3749425301249281,0.6250574698750719,596.61,15832960,803688600000
287,69.32000000000001,1148,"3,5",0.4922106655461825,0.5077893344538176,598.7,15888320,806498700000
288,72.72,1152,"2,4",0.4751902690183712,0.5248097309816288,600.8,15943680,809308800000
289,80.05,1156,"0,9",0.5314457038636596,0.46855429613634036,602.89,15999040,812118900000
290,74.51,1160,"7,3",0.4450423342000856,0.5549576657999143,604.98,16054400,814929000000
291,78.67,1164,"0,1",0.5155447571480649,0.4844552428519351,607.05,16109760,817739100000
292,71.3,1168,"0,3",0.4967475074126803,0.5032524925873196,609.13,16165120,820549200000
293,68.35,1172,"3,4",0.5037890706217008,0.49621092937829925,611.21,16220480,823359300000
294,71.50999999999999,1176,"9,8",0.6451353507611244,0.3548646492388756,613.3,16275840,826169400000
295,77.4,1180,"3,1",0.5533823159802139,0.44661768401978613,615.39,16331200,828979500000
296,68.0,1184,"6,9",0.30945872913891337,0.6905412708610866,617.46,16386560,831789600000
297,73.77,1188,"2,3",0.4343121861995327,0.5656878138004673,619.55,16441920,834599700000
298,71.14,1192,"0,3",0.5104349904269595,0.4895650095730405,621.65,16497280,837409800000
299,74.03,1196,"7,0",0.5129815192957722,0.48701848070422776,623.73,16552640,840219900000
300,70.3,1200,"1,9",0.4967463133627197,0.5032536866372803,625.82,16608000,843030000000
301,70.03,1204,"6,3",0.5480917462629887,0.4519082537370113,627.9,16663360,845840100000
302,76.14,1208,"5,7",0.6584132343003606,0.34158676569963947,630.0,16718720,848650200000
303,79.12,1212,"1,2",0.6560624704800575,0.34393752951994244,632.09,16774080,851460300000
304,67.75,1216,"9,5",0.43018969436893884,0.5698103056310612,634.16,16829440,854270400000
305,71.11,1220,"6,2",0.38977647631886403,0.610223523681136,636.24,16884800,857080500000
306,77.68,1224,"0,1",0.4643148189154854,0.5356851810845146,638.33,16940160,859890600000
307,71.65,1228,"3,2",0.5862544880856668,0.4137455119143331,640.41,16995520,862700700000
308,67.80000000000001,1232,"9,6",0.47332221378822154,0.5266777862117784,642.5,17050880,865510800000
309,67.39,1236,"2,5",0.5083920353098417,0.4916079646901583,644.57,17106240,868320900000
310,62.31,1240,"7,5",0.32762050412490634,0.6723794958750937,646.66,17161600,871131000000
311,73.00999999999999,1244,"4,7",0.672500348357221,0.32749965164277905,648.76,17216960,873941100000
312,79.14,1248,"8,6",0.34712235944969727,0.6528776405503027,650.84,17272320,876751200000
313,75.35,1252,"3,8",0.4919198867913331,0.5080801132086669,652.91,17327680,879561300000
314,73.89,1256,"2,3",0.46484697708794914,0.5351530229120509,655.01,17383040,882371400000
315,80.85,1260,"9,4",0.6541750997880886,0.34582490021191137,657.09,17438400,885181500000
316,79.35,1264,"5,7",0.6214013706922489,0.37859862930775107,659.18,17493760,887991600000
317,70.43,1268,"3,9",0.4456322832256404,0.5543677167743596,661.27,17549120,890801700000
318,80.97,1272,"7,0",0.396508274924917,0.603491725075083,663.35,17604480,893611800000
319,77.75999999999999,1276,"4,0",0.34395680485723584,0.6560431951427641,665.44,17659840,896421900000
320,71.24000000000001,1280,"8,9",0.5182470566838756,0.4817529433161244,667.53,17715200,899232000000
321,79.60000000000001,1284,"5,6",0.4626463326667596,0.5373536673332404,669.62,17770560,902042100000
322,78.24,1288,"0,2",0.4370284697092728,0.5629715302907272,671.68,17825920,904852200000
323,70.36,1292,"3,9",0.3635986631959121,0.636401336804088,673.76,17881280,907662300000
324,82.46,1296,"1,7",0.5460805967543213,0.45391940324567875,675.85,17936640,910472400000
325,77.25,1300,"3,0",0.5557661281290581,0.4442338718709419,677.93,17992000,913282500000
326,77.56,1304,"1,0",0.605320346528383,0.39467965347161704,680.01,18047360,916092600000
327,79.05,1308,"6,0",0.2947462872695669,0.7052537127304331,682.09,18102720,918902700000
328,78.07,1312,"8,3",0.4424268423365447,0.5575731576634553,684.17,18158080,921712800000
329,73.71,1316,"3,6",0.5127334096952626,0.4872665903047374,686.24,18213440,924522900000
330,69.82000000000001,1320,"3,8",0.39100313146661164,0.6089968685333884,688.33,18268800,927333000000
331,74.47,1324,"1,7",0.5557144601494469,0.4442855398505531,690.42,18324160,930143100000
332,69.74000000000001,1328,"3,8",0.427759925028537,0.572240074971463,692.49,18379520,932953200000
333,74.59,1332,"6,4",0.4235733781688558,0.5764266218311442,694.59,18434880,935763300000
334,69.78999999999999,1336,"3,6",0.5913542308093054,0.4086457691906946,696.68,18490240,938573400000
335,75.78,1340,"6,5",0.5058681068086018,0.49413189319139816,698.75,18545600,941383500000
336,75.03999999999999,1344,"0,8",0.5468862392703293,0.45311376072967063,700.83,18600960,944193600000
337,79.97999999999999,1348,"3,2",0.4990171473372902,0.5009828526627098,702.92,18656320,947003700000
338,77.82,1352,"0,5",0.5358108758486413,0.46418912415135877,705.0,18711680,949813800000
339,76.48,1356,"2,6",0.4541566641004329,0.5458433358995671,707.08,18767040,952623900000
340,79.58,1360,"1,3",0.5553815213575888,0.4446184786424113,709.17,18822400,955434000000
341,81.12,1364,"9,0",0.4920889686300879,0.5079110313699121,711.31,18877760,958244100000
342,76.14999999999999,1368,"4,5",0.6689827995278838,0.3310172004721163,713.39,18933120,961054200000
343,80.89,1372,"6,0",0.3109656103412463,0.6890343896587536,715.47,18988480,963864300000
344,78.44,1376,"3,7",0.5596439515562631,0.44035604844373694,717.56,19043840,966674400000
345,79.25999999999999,1380,"9,4",0.5688416934718713,0.4311583065281287,719.63,19099200,969484500000
346,81.25,1384,"7,1",0.44596364235027447,0.5540363576497255,721.74,19154560,972294600000
347,72.04,1388,"9,6",0.5669503139248492,0.43304968607515076,723.83,19209920,975104700000
348,76.52,1392,"5,3",0.6051536474691441,0.39484635253085587,725.92,19265280,977914800000
349,72.76,1396,"6,3",0.4927921837700995,0.5072078162299005,728.01,19320640,980724900000
350,69.34,1400,"5,4",0.41559385479569955,0.5844061452043005,730.07,19376000,983535000000
351,66.73,1404,"5,3",0.4496164504822885,0.5503835495177115,732.16,19431360,986345100000
352,75.58,1408,"2,7",0.5275563538157317,0.47244364618426826,734.22,19486720,989155200000
353,79.75,1412,"3,1",0.3158954718837562,0.6841045281162438,736.31,19542080,991965300000
354,75.71,1416,"7,4",0.50521778014275,0.49478221985724996,738.4,19597440,994775400000
355,72.03,1420,"6,5",0.2853316565986709,0.7146683434013291,740.47,19652800,997585500000
356,76.03,1424,"0,3",0.6640411669315297,0.3359588330684703,742.55,19708160,1000395600000
357,79.34,1428,"9,0",0.44593122340767977,0.5540687765923202,744.64,19763520,1003205700000
358,81.84,1432,"8,3",0.23798831730434383,0.7620116826956562,746.71,19818880,1006015800000
359,74.71,1436,"4,3",0.4973688351211712,0.5026311648788289,748.79,19874240,1008825900000
360,72.68,1440,"3,6",0.2925340058128183,0.7074659941871817,750.86,19929600,1011636000000
361,75.92999999999999,1444,"7,6",0.5462201981158243,0.45377980188417566,752.94,19984960,1014446100000
362,74.96000000000001,1448,"8,3",0.4349079439800471,0.5650920560199529,755.03,20040320,1017256200000
363,73.82,1452,"6,7",0.5165011343924428,0.48349886560755717,757.1,20095680,1020066300000
364,77.10000000000001,1456,"5,1",0.6268128937267419,0.37318710627325813,759.16,20151040,1022876400000
365,81.33,1460,"3,2",0.6028938348387578,0.3971061651612422,761.26,20206400,1025686500000
366,79.17999999999999,1464,"8,3",0.39773011089650323,0.6022698891034968,763.34,20261760,1028496600000
367,71.49,1468,"3,8",0.5515817371622389,0.4484182628377611,765.42,20317120,1031306700000
368,74.57000000000001,1472,"7,5",0.5063513621965112,0.49364863780348883,767.5,20372480,1034116800000
369,82.52000000000001,1476,"4,9",0.5158753490309355,0.48412465096906454,769.57,20427840,1036926900000
370,83.03,1480,"1,2",0.5890565484520278,0.4109434515479722,771.64,20483200,1039737000000
371,82.3,1484,"1,3",0.30164296830793913,0.6983570316920609,773.7,20538560,1042547100000
372,76.68,1488,"1,4",0.3059873725057315,0.6940126274942685,775.8,20593920,1045357200000
373,72.39999999999999,1492,"4,1",0.5667410728871701,0.4332589271128299,777.88,20649280,1048167300000
374,74.5,1496,"6,5",0.4805424942167598,0.5194575057832402,779.97,20704640,1050977400000
375,79.22,1500,"6,7",0.48026772169405,0.5197322783059499,782.05,20760000,1053787500000
376,76.64999999999999,1504,"7,1",0.5238298427308318,0.47617015726916817,784.12,20815360,1056597600000
377,73.86,1508,"7,3",0.39897790209121636,0.6010220979087836,786.22,20870720,1059407700000
378,74.42999999999999,1512,"1,4",0.5911752109764805,0.40882478902351943,788.3,20926080,1062217800000
379,77.32,1516,"2,8",0.4070901498283045,0.5929098501716955,790.39,20981440,1065027900000
380,77.03999999999999,1520,"5,3",0.38277537487737107,0.617224625122629,792.46,21036800,1067838000000
381,72.77,1524,"4,2",0.5379296048810847,0.4620703951189154,794.55,21092160,1070648100000
382,80.30000000000001,1528,"0,7",0.6318263896702302,0.36817361032976975,796.65,21147520,1073458200000
383,78.19,1532,"6,3",0.2668821072204967,0.7331178927795033,798.72,21202880,1076268300000
384,81.49,1536,"7,9",0.44546346695804934,0.5545365330419507,800.81,21258240,1079078400000
385,72.64,1540,"9,2",0.33120980791274957,0.6687901920872504,802.89,21313600,1081888500000
386,72.57000000000001,1544,"8,9",0.29621842536525766,0.7037815746347423,804.96,21368960,1084698600000
387,68.81,1548,"8,6",0.7659334836220097,0.2340665163779903,807.03,21424320,1087508700000
388,79.35,1552,"4,0",0.4154557010827245,0.5845442989172756,809.08,21479680,1090318800000
