Round,Accuracy,Total communication counts,Selected Clients,GRC Weight - Loss,GRC Weight - Diff,Elapsed Time (s)
97,43.059999999999995,388,"9,6",0.23866436660583726,0.7613356333941628,110.11
98,34.33,392,"6,8",0.084741074205722,0.915258925794278,111.1
99,34.71,396,"8,4",0.10985935150978915,0.8901406484902108,112.09
100,41.760000000000005,400,"6,8",0.21585827883630196,0.7841417211636981,113.18
101,44.32,404,"5,1",0.1625683607600429,0.8374316392399571,114.13
102,37.26,408,"8,3",0.1384785707336949,0.861521429266305,115.31
103,40.5,412,"6,0",0.23972935438793583,0.7602706456120641,116.37
104,52.739999999999995,416,"6,7",0.18065745100466327,0.8193425489953368,117.42
105,32.25,420,"8,5",0.20538238622208027,0.7946176137779197,118.36
106,32.79,424,"9,3",0.23405886335559645,0.7659411366444036,119.4
107,56.25,428,"9,1",0.2725913259395439,0.7274086740604562,120.52
108,38.34,432,"7,3",0.13714783978232414,0.8628521602176759,121.67
109,49.16,436,"9,6",0.1671674639523762,0.8328325360476238,122.77
110,49.24,440,"6,7",0.08466383215439509,0.9153361678456049,123.7
111,54.14,444,"5,4",0.12592021639877685,0.8740797836012232,124.63
112,51.519999999999996,448,"6,9",0.13186129481941372,0.8681387051805863,125.88
113,39.32,452,"8,3",0.0680357844730739,0.9319642155269261,126.89
114,53.47,456,"9,7",0.1538141586187272,0.8461858413812728,127.98
115,27.57,460,"7,5",0.10150039167793531,0.8984996083220647,128.96
116,45.86,464,"9,8",0.3072320245651413,0.6927679754348587,130.05
117,34.12,468,"8,3",0.09530546583883566,0.9046945341611643,131.05
118,42.980000000000004,472,"9,8",0.34131747340435215,0.6586825265956479,132.13
119,24.04,476,"5,8",0.14111925791821267,0.8588807420817873,133.15
120,39.25,480,"9,8",0.2857282193608251,0.714271780639175,134.19
121,23.330000000000002,484,"8,5",0.12742771383825216,0.8725722861617479,135.13
122,28.360000000000003,488,"3,9",0.21838825491634892,0.781611745083651,136.21
123,41.92,492,"5,2",0.22576806653916168,0.7742319334608383,137.26
124,26.36,496,"3,8",0.14681696680664774,0.8531830331933523,138.41
125,22.79,500,"9,5",0.3199130348565203,0.6800869651434798,139.46
126,25.52,504,"3,9",0.18572896681652834,0.8142710331834716,140.47
127,41.38,508,"5,1",0.225971810997481,0.774028189002519,141.61
128,33.46,512,"3,9",0.12415759803636846,0.8758424019636315,142.87
129,27.61,516,"5,9",0.16682713061550955,0.8331728693844904,143.93
130,32.029999999999994,520,"3,8",0.12120537907003913,0.8787946209299609,144.97
131,38.93,524,"5,1",0.2918080093283212,0.7081919906716788,146.02
132,44.440000000000005,528,"9,0",0.19590649348519198,0.804093506514808,147.32
133,38.26,532,"8,3",0.1272897888901277,0.8727102111098723,148.41
134,33.37,536,"5,9",0.30840755874079057,0.6915924412592095,149.51
135,38.3,540,"3,8",0.13648146734870478,0.8635185326512952,150.58
136,45.910000000000004,544,"5,4",0.12969507919902418,0.8703049208009759,151.7
137,54.85,548,"9,8",0.08306754195059779,0.9169324580494023,152.86
138,59.24,552,"6,8",0.2638622485832145,0.7361377514167855,153.83
139,54.410000000000004,556,"6,9",0.07060370396934257,0.9293962960306574,154.86
140,49.65,560,"8,6",0.04663071210467177,0.9533692878953283,155.84
141,35.23,564,"9,5",0.2666923140991339,0.7333076859008661,156.8
142,43.6,568,"8,3",0.15480810598827907,0.8451918940117209,157.88
143,36.26,572,"5,6",0.06615428419905924,0.9338457158009408,158.94
144,39.71,576,"8,3",0.14892383706015425,0.8510761629398458,160.09
145,51.480000000000004,580,"5,1",0.30514324077252025,0.6948567592274798,161.15
146,51.019999999999996,584,"6,0",0.19800425472642227,0.8019957452735778,162.31
147,54.48,588,"6,8",0.05508034409999748,0.9449196559000025,163.36
148,57.32000000000001,592,"6,9",0.06958968718605939,0.9304103128139406,164.34
149,61.019999999999996,596,"8,7",0.06642458240827172,0.9335754175917282,165.28
150,54.26,600,"7,6",0.08594091263211569,0.9140590873678843,166.22
151,52.949999999999996,604,"8,4",0.12778956336137867,0.8722104366386213,167.18
152,62.4,608,"6,7",0.089325741439797,0.910674258560203,168.31
153,46.089999999999996,612,"8,5",0.07414378117494276,0.9258562188250572,169.34
154,51.11,616,"8,3",0.10321910846696955,0.8967808915330304,170.39
155,65.97,620,"8,7",0.14372908820584912,0.8562709117941508,171.53
156,42.41,624,"8,5",0.06482148958101708,0.9351785104189829,172.54
157,47.33,628,"8,3",0.08326019971733498,0.916739800282665,173.59
158,63.31,632,"9,8",0.15792978868742455,0.8420702113125754,174.74
159,63.260000000000005,636,"9,7",0.08299460707751244,0.9170053929224875,175.7
160,65.62,640,"8,6",0.0450429631231961,0.9549570368768039,176.65
161,64.18,644,"9,7",0.1019633224795196,0.8980366775204804,177.63
162,60.28,648,"8,6",0.06315889170781348,0.9368411082921865,178.6
163,43.61,652,"9,5",0.08735834280673542,0.9126416571932646,179.59
164,47.67,656,"8,3",0.08270711755483806,0.9172928824451619,180.63
165,57.42,660,"6,7",0.24844304676480297,0.751556953235197,181.69
166,15.740000000000002,664,"9,2",0.09436131345546864,0.9056386865445314,182.65
167,51.949999999999996,668,"9,6",0.1584023233147665,0.8415976766852334,183.72
168,13.389999999999999,672,"2,6",0.04793922557862236,0.9520607744213776,184.74
169,42.1,676,"9,6",0.17947766600164197,0.820522333998358,185.83
170,13.71,680,"2,7",0.2549588990371976,0.7450411009628024,186.8
171,40.25,684,"9,6",0.18421624652657798,0.815783753473422,187.82
172,15.509999999999998,688,"2,7",0.12845055166196157,0.8715494483380385,188.76
173,39.64,692,"5,6",0.11470714070111852,0.8852928592988815,189.87
174,55.98,696,"8,1",0.06354837908614518,0.9364516209138548,190.96
175,58.379999999999995,700,"2,3",0.1119795992754209,0.8880204007245791,192.03
176,17.71,704,"9,2",0.21112032067517522,0.7888796793248247,193.24
177,56.24,708,"6,9",0.1762267852142869,0.8237732147857131,194.28
178,55.63,712,"7,4",0.11055736223900728,0.8894426377609927,195.2
179,23.119999999999997,716,"6,2",0.23867708664822757,0.7613229133517724,196.31
180,59.67,720,"6,1",0.15946450163426223,0.8405354983657377,197.39
181,26.06,724,"2,7",0.09331688338261902,0.906683116617381,198.47
182,63.06,728,"6,9",0.15439122997312102,0.845608770026879,199.55
183,57.730000000000004,732,"7,3",0.19879413151919118,0.8012058684808088,200.5
184,53.56999999999999,736,"5,8",0.10071092627775488,0.8992890737222451,201.57
185,66.05,740,"2,3",0.1880270500170444,0.8119729499829555,202.64
186,25.86,744,"9,2",0.1373978177387903,0.8626021822612097,203.81
187,62.43,748,"6,1",0.1804878017023704,0.8195121982976297,204.83
188,32.1,752,"2,7",0.09943427078237528,0.9005657292176247,205.98
189,59.79,756,"6,9",0.1480622095558134,0.8519377904441866,207.04
190,55.65,760,"7,4",0.15437384192173767,0.8456261580782624,207.97
191,68.36,764,"0,1",,,209.08
192,74.06,768,"6,9",0.09305425323857566,0.9069457467614244,210.29
193,40.27,772,"2,9",0.10238031464064733,0.8976196853593527,211.31
194,54.49,776,"6,5",0.1624477017898431,0.8375522982101569,212.48
195,38.03,780,"2,8",0.04660841279096886,0.9533915872090312,213.6
196,53.300000000000004,784,"6,4",0.14125877019297278,0.8587412298070272,214.66
197,51.55,788,"6,3",0.2314703916155744,0.7685296083844256,215.76
198,49.21,792,"5,6",0.08912745005561602,0.9108725499443839,216.9
199,62.67,796,"2,3",0.10776711974928192,0.8922328802507181,217.94
200,75.25,800,"9,7",0.10604349304138115,0.8939565069586188,219.12
201,62.19,804,"7,4",0.10155403877048524,0.8984459612295148,220.04
202,70.65,808,"6,7",0.12336111372728162,0.8766388862727184,221.08
203,73.50999999999999,812,"0,1",,,222.01
204,71.15,816,"0,1",,,223.23
205,68.26,820,"5,2",0.1474298745416583,0.8525701254583418,224.48
206,59.62,824,"6,3",0.08359208027628155,0.9164079197237185,225.64
207,78.96,828,"8,6",0.23711719201422063,0.7628828079857793,226.7
208,73.05,832,"9,8",0.053986065857367496,0.9460139341426325,227.65
209,42.14,836,"2,8",0.06824016738282433,0.9317598326171757,228.59
210,61.79,840,"6,4",0.1332208726004683,0.8667791273995317,229.67
211,72.25,844,"0,1",,,230.78
212,71.22,848,"0,1",,,232.0
213,46.04,852,"2,6",0.08221674366947973,0.9177832563305203,233.17
214,57.56,856,"6,5",0.12372539752402065,0.8762746024759793,234.21
215,75.22999999999999,860,"8,9",0.0966867833980641,0.9033132166019359,235.23
216,73.50999999999999,864,"7,8",0.08888465062851149,0.9111153493714885,236.15
217,74.72,868,"6,9",0.08359245948896213,0.9164075405110379,237.07
218,78.28,872,"0,1",,,237.98
219,75.82,876,"0,1",,,239.15
220,50.56,880,"2,6",0.09296474754750088,0.9070352524524992,240.33
221,63.54,884,"6,9",0.129484181702725,0.870515818297275,241.4
222,77.59,888,"3,4",0.12298315404416435,0.8770168459558356,242.33
223,78.43,892,"9,7",0.05266248996129672,0.9473375100387033,243.56
224,78.31,896,"0,1",,,244.53
225,76.22,900,"0,1",,,245.74
226,61.53999999999999,904,"8,3",0.23017928633531165,0.7698207136646884,246.99
227,74.71,908,"8,7",0.09510026812393639,0.9048997318760637,248.17
228,77.75999999999999,912,"2,5",0.1035669295164046,0.8964330704835954,249.11
229,48.010000000000005,916,"2,8",0.04502540289878932,0.9549745971012107,250.31
230,76.4,920,"6,9",0.12392691615973951,0.8760730838402605,251.36
231,61.4,924,"9,3",0.05168705060575754,0.9483129493942425,252.33
232,48.16,928,"2,8",0.15670560281571355,0.8432943971842864,253.42
233,66.82000000000001,932,"6,9",0.1530477991060905,0.8469522008939094,254.54
234,76.78,936,"4,3",0.21076412238883424,0.7892358776111658,255.55
235,62.739999999999995,940,"9,5",0.06990979636213879,0.9300902036378612,256.77
236,62.22,944,"8,3",0.11966166846172435,0.8803383315382757,257.82
237,80.65,948,"8,7",0.10517070319491038,0.8948292968050896,258.98
238,83.16,952,"0,1",,,259.99
239,67.41,956,"8,3",0.05767675423171581,0.9423232457682842,261.23
240,61.21,960,"8,5",0.11461691755781067,0.8853830824421893,262.32
241,64.58,964,"3,8",0.0514414099863416,0.9485585900136584,263.34
242,76.2,968,"0,1",,,264.42
243,75.83,972,"0,1",,,265.68
244,60.22,976,"6,5",0.19466385440097342,0.8053361455990266,266.99
245,64.53999999999999,980,"3,8",0.053456524902577185,0.9465434750974228,268.04
246,76.48,984,"7,9",0.2518063358688823,0.7481936641311177,269.12
247,73.58,988,"9,8",0.04562024406843482,0.9543797559315652,270.08
248,71.45,992,"8,7",0.05188776032232869,0.9481122396776713,271.04
249,55.13,996,"8,2",0.044858738636706086,0.9551412613632939,272.01
250,76.08,1000,"6,9",0.13741372862226872,0.8625862713777313,273.06
251,66.14,1004,"8,5",0.11576670704391516,0.8842332929560849,274.02
252,79.13,1008,"0,1",,,275.06
253,73.41,1012,"9,6",0.052253458657206354,0.9477465413427937,276.28
254,54.47,1016,"8,2",0.11109198205747046,0.8889080179425295,277.25
255,65.06,1020,"6,4",0.20782390148012014,0.7921760985198798,278.31
256,72.36,1024,"0,1",,,279.4
257,54.13,1028,"2,9",0.05713979465281882,0.9428602053471812,280.68
258,80.44,1032,"6,8",0.13575055170645525,0.8642494482935448,281.79
259,57.809999999999995,1036,"2,8",0.08087008903759653,0.9191299109624035,282.8
260,75.2,1040,"6,1",0.26844112075463483,0.7315588792453652,283.87
261,54.50000000000001,1044,"8,2",0.06737585783337632,0.9326241421666237,284.95
262,75.41,1048,"6,9",0.17449147062138684,0.8255085293786132,286.0
263,71.24000000000001,1052,"7,3",0.1280346092754721,0.8719653907245278,286.95
264,78.57,1056,"0,1",,,288.03
265,67.15,1060,"8,5",0.045609041307205445,0.9543909586927946,289.26
266,74.28,1064,"9,8",0.06749025414500871,0.9325097458549912,290.39
267,77.75999999999999,1068,"8,7",0.044595700059233544,0.9554042999407666,291.31
268,80.58,1072,"0,1",,,292.23
269,63.77,1076,"2,8",0.05142461512531327,0.9485753848746867,293.49
270,78.53999999999999,1080,"6,8",0.21515120178199115,0.7848487982180089,294.53
271,68.60000000000001,1084,"9,4",0.14533747701662192,0.8546625229833781,295.46
272,73.96000000000001,1088,"8,6",0.044555285854295544,0.9554447141457045,296.55
273,60.92999999999999,1092,"9,2",0.0742635451218731,0.925736454878127,297.52
274,73.56,1096,"8,9",0.22744615292894838,0.7725538470710517,298.58
275,80.49,1100,"0,1",,,299.59
276,80.53,1104,"0,1",,,300.8
277,79.05,1108,"0,1",,,301.98
278,69.41000000000001,1112,"5,6",0.07639593604551653,0.9236040639544835,303.18
279,74.00999999999999,1116,"8,9",0.11834182099279915,0.8816581790072009,304.2
280,63.81,1120,"2,6",0.1480123877729112,0.8519876122270889,305.14
281,70.57,1124,"9,8",0.13198663739011143,0.8680133626098886,306.16
282,67.81,1128,"4,7",0.0707505452111072,0.9292494547888928,307.1
283,61.19,1132,"8,5",0.05731147192066423,0.9426885280793358,308.2
284,74.03,1136,"0,1",,,309.25
285,64.16,1140,"2,9",0.07821653086313148,0.9217834691368685,310.45
286,81.11,1144,"6,7",0.09465799825631994,0.9053420017436801,311.49
287,73.39,1148,"9,3",0.05438360000987414,0.9456163999901258,312.45
288,67.28,1152,"2,8",0.10451500850029212,0.8954849914997078,313.6
289,80.01,1156,"8,9",0.17781762552655084,0.8221823744734491,314.63
290,70.49,1160,"8,4",0.04788096284133255,0.9521190371586674,315.56
291,64.97,1164,"8,5",0.18538365804072338,0.8146163419592767,316.63
292,76.94,1168,"0,1",,,317.71
293,68.26,1172,"9,2",0.05637192434211215,0.9436280756578879,318.98
294,83.04,1176,"8,6",0.09097010449176919,0.9090298955082308,320.02
295,67.28,1180,"2,9",0.0761524476933844,0.9238475523066156,320.94
296,80.67999999999999,1184,"8,6",0.10371582098965823,0.8962841790103417,322.01
297,76.01,1188,"8,9",0.08337884235867976,0.9166211576413202,323.07
298,62.17,1192,"8,2",0.09685674350112408,0.903143256498876,324.02
299,69.69,1196,"9,8",0.10154610350212509,0.8984538964978749,325.05
300,76.32,1200,"8,7",0.04730228392022952,0.9526977160797705,326.04
