Round,Accuracy,Total communication counts,Selected Clients,GRC Weight - Loss,GRC Weight - Diff,Accuracy - SVD,Total communication counts - SVD,Selected Clients,GRC Weight - Loss - SVD,GRC Weight - Diff - SVD
152,38.69,608,"6,5",0.327539653,0.672460347,55.39,608,"6,0",0.323028862,0.676971138
153,50.31,612,"1,4",0.616810572,0.383189428,41.93,612,"6,5",0.205789285,0.794210715
154,60.82,616,"8,9",0.340364556,0.659635444,52.74,616,"9,0",0.397959216,0.602040784
155,53.34,620,"4,3",0.298504662,0.701495338,71.11,620,"8,6",0.250579931,0.749420069
156,52.11,624,"2,5",0.412465812,0.587534188,64.17,624,"7,4",0.094692647,0.905307353
157,55.65,628,"0,1",0.622255665,0.377744335,60.31,628,"8,6",0.116089345,0.883910655
158,52.76,632,"4,3",0.523495738,0.476504262,54.16,632,"7,3",0.158108961,0.841891039
159,52.81,636,"1,5",0.539920434,0.460079566,67.7,636,"8,7",0.190289434,0.809710566
160,53.09,640,"3,2",0.501967495,0.498032505,39.56,640,"5,8",0.12358993,0.87641007
161,52.8,644,"5,1",0.552420345,0.447579655,65.42,644,"9,1",0.341330607,0.658669393
162,42.87,648,"3,9",0.413087574,0.586912426,40.72,648,"8,5",0.162762554,0.837237446
163,54.33,652,"2,0",0.475624675,0.524375325,63.94,652,"9,0",0.279334514,0.720665486
164,52.74,656,"3,5",0.457549313,0.542450687,45.15,656,"6,2",0.321013393,0.678986607
165,49.32,660,"1,5",0.517702313,0.482297687,59.49,660,"6,4",0.240981673,0.759018327
166,50.57,664,"0,3",0.556368055,0.443631945,72.05,664,"9,6",0.091381345,0.908618655
167,55.25,668,"4,2",0.516803373,0.483196627,60.5,668,"7,3",0.069770827,0.930229173
168,43.01,672,"8,5",0.387532971,0.612467029,69.98,672,"9,8",0.270811798,0.729188202
169,52.23,676,"2,0",0.547723526,0.452276474,68.33,676,"5,2",0.16330264,0.83669736
170,42.89,680,"3,6",0.360414403,0.639585597,77.14,680,"7,8",0.196529845,0.803470155
171,39.76,684,"5,6",0.571537973,0.428462027,66.3,684,"9,4",0.080362571,0.919637429
172,44.01,688,"2,8",0.431738312,0.568261688,78.97,688,"9,6",0.108984432,0.891015568
173,50.39,692,"0,5",0.482216546,0.517783454,58.31,692,"7,3",0.069699695,0.930300305
174,42.25,696,"3,8",0.390435236,0.609564764,76.08,696,"5,1",0.220200456,0.779799544
175,55.22,700,"5,1",0.373909797,0.626090203,71.16,700,"7,0",0.073061363,0.926938637
176,46.75,704,"6,2",0.406859765,0.593140235,71.05,704,"6,7",0.199768566,0.800231434
177,52.58,708,"3,5",0.487548923,0.512451077,53.54,708,"9,5",0.09510914,0.90489086
178,53.96,712,"4,7",0.291944828,0.708055172,70.61,712,"8,9",0.206346982,0.793653018
179,42.32,716,"9,5",0.217008582,0.782991418,64.4,716,"7,4",0.099524175,0.900475825
180,52.5,720,"3,0",0.543172402,0.456827598,50.91,720,"9,5",0.130689561,0.869310439
181,45.68,724,"2,7",0.459985827,0.540014173,60.65,724,"3,8",0.272251313,0.727748687
182,55.35,728,"1,5",0.576802468,0.423197532,67.01,728,"7,1",0.175196762,0.824803238
183,46.3,732,"3,9",0.387128325,0.612871675,70.87,732,"5,0",0.106257767,0.893742233
184,54.67,736,"5,0",0.495539625,0.504460375,51.49,736,"9,2",0.164689185,0.835310815
185,44.57,740,"8,3",0.365270675,0.634729325,62.59,740,"6,4",0.136103158,0.863896842
186,53.69,744,"4,1",0.558241378,0.441758622,74.92,744,"9,6",0.109470109,0.890529891
187,52.95,748,"3,2",0.600952439,0.399047561,63.75,748,"7,3",0.074132743,0.925867257
188,45.8,752,"5,7",0.340968468,0.659031532,41.61,752,"2,8",0.169908404,0.830091596
189,56.18,756,"4,0",0.523104175,0.476895825,72.35,756,"6,1",0.16954885,0.83045115
190,55.33,760,"3,2",0.403652601,0.596347399,69.83,760,"5,2",0.146466749,0.853533251
191,57.68,764,"7,1",0.407180211,0.592819789,77.2,764,"6,7",0.144979188,0.855020812
192,44.34,768,"9,5",0.34980198,0.65019802,68.29,768,"9,4",0.10033751,0.89966249
193,55.56,772,"3,4",0.466068557,0.533931443,77.89,772,"9,7",0.113909129,0.886090871
194,49.85,776,"2,6",0.439413248,0.560586752,67.85,776,"8,4",0.107175976,0.892824024
195,53.8,780,"3,4",0.513230218,0.486769782,80.17,780,"9,6",0.096638121,0.903361879
196,56.21,784,"5,1",0.544806096,0.455193904,79.72,784,"7,8",0.073797652,0.926202348
197,53.78,788,"3,0",0.503984085,0.496015915,71.11,788,"8,9",0.06296209,0.93703791
198,48.18,792,"2,8",0.271323677,0.728676323,65.96,792,"7,4",0.06733133,0.93266867
199,54.96,796,"5,3",0.416768651,0.583231349,66.71,796,"7,8",0.103298026,0.896701974
200,54.99,800,"0,6",0.415148591,0.584851409,71.11,800,"9,0",0.133901302,0.866098698
201,55.78,804,"2,4",0.560440596,0.439559404,56.09,804,"6,5",0.13069772,0.86930228
202,47.17,808,"7,5",0.304680846,0.695319154,63.89,808,"3,8",0.239532806,0.760467194
203,55.92,812,"2,3",0.534280372,0.465719628,73.77,812,"7,8",0.156798607,0.843201393
