Round,LoRA_Accuracy,LoRA_Comm,LoRA_Loss,LoRA_SelectedClients,LoRA_TFLOPs,Original_Accuracy,Original_Comm,Original_Loss,Original_SelectedClients,Original_TFLOPs
101,45.6,98,1.7994005141166833,"[6, 8]",0.0011694637239831698,44.9,78.0,1.896429173100871,"[7, 3]",0.0024706004005925
102,46.949999999999996,96,1.621993396800166,"[0, 2]",0.001214606897596504,49.81,88.0,1.322859014946813,"[9, 0]",0.0036813582128035
103,59.47,68,1.1769067645072937,"[1, 5]",0.001111029493937375,45.52,78.0,1.7537208624160328,"[9, 1]",0.0046195436853185
104,52.080000000000005,86,1.5810491930181607,"[6, 3]",0.0011937403510379385,48.54,102.0,1.606268288799749,"[4, 6]",0.0039238947538823
105,51.080000000000005,98,1.7193876019301124,"[4, 6]",0.0012701106400609292,49.18,80.0,1.6377816373547809,"[1, 0]",0.0037141542770601
106,48.64,88,1.7219383229082004,"[8, 5]",0.0010864203715960912,56.14,80.0,1.4013482812113656,"[1, 5]",0.0030156514835443
107,52.239999999999995,80,1.1141634115014976,"[9, 2]",0.0012307418969741697,41.92,84.0,1.930995008244682,"[5, 1]",0.0028217517265651
108,50.55,74,1.3467686947542257,"[1, 5]",0.001227119404267844,51.129999999999995,98.0,1.637856695789118,"[9, 4]",0.004568918549041
109,60.629999999999995,96,1.1696776920995011,"[3, 0]",0.0014401168138169257,52.88,90.0,1.5444901888362896,"[1, 3]",0.0036491362590809
110,48.6,90,1.5791950273437623,"[6, 9]",0.0013038743318217357,43.34,94.0,1.9649321652068117,"[4, 1]",0.0028075004552188
111,50.74999999999999,88,1.5464153369775595,"[4, 5]",0.001162129108292683,48.809999999999995,100.0,1.731280625247346,"[1, 6]",0.0036813582128035
112,52.51,98,1.503256103101249,"[3, 8]",0.001262418826949281,61.67,74.0,1.223289901456132,"[7, 2]",0.004568918549041
113,39.839999999999996,102,1.7981396808791845,"[3, 0]",0.0012119587720930232,56.34,100.0,1.4686571047328911,"[5, 3]",0.0037559803387387
114,45.72,82,1.7315964470275294,"[7, 3]",0.0011556862580734582,47.65,98.0,1.7333575967020882,"[2, 3]",0.0023926187523672
115,39.6,100,2.2309187132710466,"[3, 4]",0.0012463791258594918,38.65,94.0,1.9524016723084376,"[2, 0]",0.0026179831560439
116,48.46,86,1.2570606738614578,"[2, 9]",0.0012226211659824046,48.15,100.0,1.486141437349228,"[9, 0]",0.0038603131259259
117,42.02,88,1.6029586407323233,"[7, 3]",0.0013162235756906076,56.42,86.0,1.4423322311986368,"[7, 9]",0.0044829442752688
118,60.27,100,1.0822852866146893,"[0, 1]",0.0012937589374709076,49.03,88.0,1.497599566325593,"[8, 9]",0.0022596954883468
119,56.45,106,1.4862583565254943,"[3, 6]",0.0012998092520654717,44.29,114.0,1.4176738841084249,"[3, 6]",0.0030321004916363
120,49.08,98,1.6319765690416574,"[6, 9]",0.0012235181734409392,38.21,114.0,2.068658223929116,"[3, 9]",0.0027980793127516
121,56.05,110,1.316770575297907,"[0, 2]",0.0012501163946026987,49.24,104.0,1.853480240026602,"[9, 1]",0.0041900886190954
122,58.60999999999999,98,1.2088509426711085,"[9, 4]",0.0013172632467614534,49.09,98.0,1.423273104257858,"[5, 2]",0.0038248974091743
123,50.7,120,1.5939730141109552,"[4, 0]",0.0010779930642533936,59.330000000000005,102.0,1.1546826593030377,"[4, 1]",0.0044234887809018
124,46.17,100,1.8254073563094337,"[9, 3]",0.0012163787530269875,64.78,96.0,1.1596239849020498,"[7, 9]",0.0036411687126637
125,56.10000000000001,98,1.739425099314973,"[4, 7]",0.0015051040346570398,50.54,98.0,1.5190788871183185,"[3, 7]",0.002747372768369
126,60.99,100,1.3398014644083505,"[6, 1]",0.001175232748696265,58.60999999999999,96.0,1.305354100827592,"[4, 7]",0.0031346903578947
127,57.66,88,1.2078122148117698,"[9, 5]",0.0012501163946026987,47.68,104.0,1.914979785775986,"[3, 7]",0.0035406693639065
128,60.260000000000005,86,1.1513295632581741,"[1, 7]",0.001097141625263158,48.51,114.0,1.759487025463543,"[2, 3]",0.0027980793127516
129,51.61,98,1.55815454508169,"[5, 3]",0.0012128401966545455,53.75,122.0,1.2815961207444675,"[9, 6]",0.0037901256145454
