Round,Accuracy,Total communication counts,Selected Clients,GRC Weight - Loss,GRC Weight - Diff,Global Use LoRA,Selection Use LoRA,Training Use LoRA,LoRA Rank,LoRA Alpha
118,44.37,472,"1,3",0.5648231827696643,0.43517681723033574,False,False,False,8,0.5
119,44.17,476,"1,3",0.6142749102051928,0.38572508979480724,False,False,False,8,0.5
120,43.89,480,"1,3",0.7092154007624294,0.29078459923757066,False,False,False,8,0.5
121,43.63,484,"1,3",0.6468514750724795,0.3531485249275204,False,False,False,8,0.5
122,43.36,488,"1,3",0.5795054275873572,0.4204945724126428,False,False,False,8,0.5
123,43.19,492,"1,3",0.5785186157691217,0.42148138423087833,False,False,False,8,0.5
124,43.01,496,"1,3",0.6706609328640064,0.32933906713599365,False,False,False,8,0.5
125,42.78,500,"1,3",0.6360105612982488,0.3639894387017511,False,False,False,8,0.5
126,42.620000000000005,504,"1,3",0.6018704278764972,0.39812957212350275,False,False,False,8,0.5
127,42.44,508,"1,3",0.590306053931609,0.40969394606839105,False,False,False,8,0.5
128,42.26,512,"1,3",0.7150849432906347,0.2849150567093653,False,False,False,8,0.5
129,42.089999999999996,516,"1,3",0.5772469526053362,0.4227530473946638,False,False,False,8,0.5
130,41.92,520,"1,3",0.6398152819080237,0.3601847180919762,False,False,False,8,0.5
131,41.760000000000005,524,"1,3",0.5940687587434879,0.40593124125651214,False,False,False,8,0.5
132,41.65,528,"1,3",0.6703763472763926,0.32962365272360733,False,False,False,8,0.5
133,41.49,532,"1,3",0.5768996134526325,0.4231003865473674,False,False,False,8,0.5
134,41.43,536,"1,3",0.6060655387526356,0.3939344612473644,False,False,False,8,0.5
135,41.28,540,"1,3",0.6705806126437527,0.32941938735624726,False,False,False,8,0.5
136,41.22,544,"1,3",0.5556624553015631,0.4443375446984369,False,False,False,8,0.5
137,41.17,548,"1,3",0.6531490908761629,0.3468509091238371,False,False,False,8,0.5
138,41.08,552,"1,3",0.5671409271494816,0.43285907285051844,False,False,False,8,0.5
139,41.02,556,"1,3",0.6584368887873188,0.34156311121268124,False,False,False,8,0.5
140,41.010000000000005,560,"1,3",0.6623884329467463,0.33761156705325374,False,False,False,8,0.5
141,40.94,564,"1,3",0.62829949122625,0.37170050877375005,False,False,False,8,0.5
142,40.839999999999996,568,"1,3",0.6296942164411258,0.3703057835588742,False,False,False,8,0.5
143,40.78,572,"1,3",0.6569590484207736,0.3430409515792264,False,False,False,8,0.5
144,40.72,576,"1,3",0.5525295018302859,0.44747049816971407,False,False,False,8,0.5
145,40.65,580,"1,3",0.6183292914056352,0.3816707085943648,False,False,False,8,0.5
146,40.550000000000004,584,"1,3",0.5556373339057276,0.44436266609427244,False,False,False,8,0.5
147,40.47,588,"1,3",0.6273274822270755,0.37267251777292454,False,False,False,8,0.5
148,40.410000000000004,592,"1,3",0.6132449919805422,0.3867550080194578,False,False,False,8,0.5
149,40.35,596,"1,3",0.6695580261495532,0.33044197385044677,False,False,False,8,0.5
150,40.33,600,"1,3",0.6378545063419582,0.36214549365804183,False,False,False,8,0.5
151,40.29,604,"1,3",0.6490084653361803,0.35099153466381977,False,False,False,8,0.5
152,40.22,608,"1,3",0.6110608151479897,0.38893918485201023,False,False,False,8,0.5
153,40.17,612,"1,3",0.7017103679977622,0.2982896320022378,False,False,False,8,0.5
154,40.11,616,"1,3",0.599312701889086,0.40068729811091397,False,False,False,8,0.5
155,40.06,620,"1,3",0.5756793179381542,0.42432068206184576,False,False,False,8,0.5
156,39.97,624,"1,3",0.5498111194861017,0.4501888805138983,False,False,False,8,0.5
157,39.93,628,"1,3",0.6242676207176514,0.3757323792823486,False,False,False,8,0.5
158,39.83,632,"1,3",0.6454634993186324,0.3545365006813675,False,False,False,8,0.5
159,39.78,636,"1,3",0.6102633230869595,0.3897366769130404,False,False,False,8,0.5
160,39.739999999999995,640,"1,3",0.545546868277592,0.45445313172240803,False,False,False,8,0.5
161,39.69,644,"1,3",0.6347130964848434,0.3652869035151566,False,False,False,8,0.5
162,39.64,648,"1,3",0.6611849516676878,0.33881504833231224,False,False,False,8,0.5
163,39.6,652,"1,3",0.5663223447601652,0.4336776552398348,False,False,False,8,0.5
164,39.519999999999996,656,"1,3",0.5349261282758929,0.4650738717241071,False,False,False,8,0.5
165,39.489999999999995,660,"1,3",0.6492738653082617,0.3507261346917383,False,False,False,8,0.5
166,39.39,664,"1,3",0.6605536068798963,0.3394463931201037,False,False,False,8,0.5
167,39.34,668,"1,3",0.6552005616554506,0.34479943834454946,False,False,False,8,0.5
168,39.34,672,"1,3",0.7005461151931754,0.2994538848068246,False,False,False,8,0.5
169,39.269999999999996,676,"1,3",0.6635085243531579,0.3364914756468421,False,False,False,8,0.5
170,39.2,680,"1,3",0.5800695296519255,0.4199304703480745,False,False,False,8,0.5
171,39.14,684,"1,3",0.6362609022432842,0.36373909775671576,False,False,False,8,0.5
172,39.11,688,"1,3",0.6420831956233374,0.3579168043766627,False,False,False,8,0.5
173,39.050000000000004,692,"1,3",0.5675356599222878,0.4324643400777122,False,False,False,8,0.5
174,39.01,696,"1,3",0.6421232717832396,0.3578767282167604,False,False,False,8,0.5
175,38.93,700,"1,3",0.6125396030257377,0.3874603969742623,False,False,False,8,0.5
176,38.9,704,"1,3",0.6234540721990228,0.3765459278009771,False,False,False,8,0.5
