Experiment,Round,Accuracy,Total communication counts,Selected Clients,GRC Weight - Loss,GRC Weight - Diff,Avg T-FLOPs
"Exp_A: grc=False, freeze=False",114,71.3,456,"2,3",NA,NA,3578880.0
"Exp_A: grc=False, freeze=False",115,64.12,460,"2,0",NA,NA,3578880.0
"Exp_A: grc=False, freeze=False",116,71.06,464,"9,0",NA,NA,3578880.0
"Exp_A: grc=False, freeze=False",117,64.1,468,"7,9",NA,NA,3578880.0
"Exp_A: grc=False, freeze=False",118,63.38,472,"8,9",NA,NA,3578880.0
"Exp_A: grc=False, freeze=False",119,69.42,476,"3,6",NA,NA,3578880.0
"Exp_A: grc=False, freeze=False",120,61.370000000000005,480,"3,9",NA,NA,3578880.0
"Exp_A: grc=False, freeze=False",121,65.68,484,"9,1",NA,NA,3578880.0
"Exp_A: grc=False, freeze=False",122,69.04,488,"5,2",NA,NA,3578880.0
"Exp_A: grc=False, freeze=False",123,73.58,492,"4,1",NA,NA,3578880.0
"Exp_A: grc=False, freeze=False",124,77.11,496,"7,9",NA,NA,3578880.0
"Exp_A: grc=False, freeze=False",125,73.38,500,"3,7",NA,NA,3578880.0
"Exp_A: grc=False, freeze=False",126,77.75,504,"4,7",NA,NA,3578880.0
"Exp_A: grc=False, freeze=False",127,67.49000000000001,508,"3,7",NA,NA,3578880.0
"Exp_A: grc=False, freeze=False",128,68.81,512,"2,3",NA,NA,3578880.0
"Exp_A: grc=False, freeze=False",129,83.02000000000001,516,"9,6",NA,NA,3578880.0
"Exp_A: grc=False, freeze=False",130,81.32000000000001,520,"5,6",NA,NA,3578880.0
"Exp_A: grc=False, freeze=False",131,74.0,524,"4,6",NA,NA,3578880.0
"Exp_A: grc=False, freeze=False",132,71.28,528,"2,9",NA,NA,3578880.0
"Exp_A: grc=False, freeze=False",133,70.37,532,"9,8",NA,NA,3578880.0
"Exp_A: grc=False, freeze=False",134,73.48,536,"7,1",NA,NA,3578880.0
"Exp_A: grc=False, freeze=False",135,73.75,540,"3,5",NA,NA,3578880.0
"Exp_A: grc=False, freeze=False",136,82.96,544,"9,4",NA,NA,3578880.0
"Exp_A: grc=False, freeze=False",137,78.59,548,"0,4",NA,NA,3578880.0
"Exp_A: grc=False, freeze=False",138,79.25999999999999,552,"7,3",NA,NA,3578880.0
"Exp_A: grc=False, freeze=False",139,76.96,556,"6,3",NA,NA,3578880.0
"Exp_A: grc=False, freeze=False",140,73.83999999999999,560,"4,5",NA,NA,3578880.0
"Exp_A: grc=False, freeze=False",141,72.56,564,"0,5",NA,NA,3578880.0
"Exp_A: grc=False, freeze=False",142,74.25,568,"0,6",NA,NA,3578880.0
"Exp_A: grc=False, freeze=False",143,79.91,572,"0,8",NA,NA,3578880.0
"Exp_A: grc=False, freeze=False",144,81.34,576,"0,9",NA,NA,3578880.0
"Exp_A: grc=False, freeze=False",145,83.34,580,"0,6",NA,NA,3578880.0
"Exp_A: grc=False, freeze=False",146,79.64,584,"9,4",NA,NA,3578880.0
"Exp_A: grc=False, freeze=False",147,80.97,588,"7,5",NA,NA,3578880.0
"Exp_A: grc=False, freeze=False",148,80.94,592,"0,8",NA,NA,3578880.0
"Exp_A: grc=False, freeze=False",149,84.2,596,"6,1",NA,NA,3578880.0
"Exp_A: grc=False, freeze=False",150,78.97999999999999,600,"6,4",NA,NA,3578880.0
"Exp_A: grc=False, freeze=False",151,79.79,604,"0,5",NA,NA,3578880.0
"Exp_A: grc=False, freeze=False",152,80.51,608,"0,9",NA,NA,3578880.0
"Exp_A: grc=False, freeze=False",153,80.96,612,"5,1",NA,NA,3578880.0
"Exp_A: grc=False, freeze=False",154,75.68,616,"9,0",NA,NA,3578880.0
"Exp_A: grc=False, freeze=False",155,79.55,620,"8,1",NA,NA,3578880.0
"Exp_A: grc=False, freeze=False",156,68.61,624,"9,8",NA,NA,3578880.0
"Exp_A: grc=False, freeze=False",157,70.59,628,"0,3",NA,NA,3578880.0
"Exp_A: grc=False, freeze=False",158,76.89,632,"9,6",NA,NA,3578880.0
"Exp_A: grc=False, freeze=False",159,74.9,636,"4,1",NA,NA,3578880.0
"Exp_A: grc=False, freeze=False",160,71.23,640,"1,2",NA,NA,3578880.0
"Exp_A: grc=False, freeze=False",161,66.3,644,"1,2",NA,NA,3578880.0
"Exp_A: grc=False, freeze=False",162,72.02,648,"8,3",NA,NA,3578880.0
"Exp_A: grc=False, freeze=False",163,73.19,652,"3,7",NA,NA,3578880.0
"Exp_A: grc=False, freeze=False",164,79.28,656,"9,4",NA,NA,3578880.0
"Exp_A: grc=False, freeze=False",165,79.44,660,"6,3",NA,NA,3578880.0
"Exp_A: grc=False, freeze=False",166,81.52000000000001,664,"0,8",NA,NA,3578880.0
"Exp_A: grc=False, freeze=False",167,76.46,668,"8,7",NA,NA,3578880.0
"Exp_A: grc=False, freeze=False",168,81.93,672,"1,3",NA,NA,3578880.0
"Exp_A: grc=False, freeze=False",169,81.85,676,"2,6",NA,NA,3578880.0
"Exp_A: grc=False, freeze=False",170,85.35000000000001,680,"7,1",NA,NA,3578880.0
"Exp_A: grc=False, freeze=False",171,81.51,684,"3,9",NA,NA,3578880.0
"Exp_A: grc=False, freeze=False",172,86.11,688,"1,2",NA,NA,3578880.0
"Exp_A: grc=False, freeze=False",173,87.33999999999999,692,"6,7",NA,NA,3578880.0
"Exp_A: grc=False, freeze=False",174,84.73,696,"6,4",NA,NA,3578880.0
"Exp_A: grc=False, freeze=False",175,77.9,700,"9,3",NA,NA,3578880.0
"Exp_A: grc=False, freeze=False",176,82.17,704,"8,0",NA,NA,3578880.0
"Exp_A: grc=False, freeze=False",177,78.47,708,"8,6",NA,NA,3578880.0
"Exp_A: grc=False, freeze=False",178,80.54,712,"2,7",NA,NA,3578880.0
"Exp_A: grc=False, freeze=False",179,77.84,716,"9,2",NA,NA,3578880.0
"Exp_A: grc=False, freeze=False",180,78.14,720,"0,4",NA,NA,3578880.0
"Exp_A: grc=False, freeze=False",181,82.03,724,"6,7",NA,NA,3578880.0
"Exp_A: grc=False, freeze=False",182,79.25,728,"7,6",NA,NA,3578880.0
"Exp_A: grc=False, freeze=False",183,84.65,732,"5,8",NA,NA,3578880.0
"Exp_A: grc=False, freeze=False",184,85.39999999999999,736,"3,1",NA,NA,3578880.0
"Exp_A: grc=False, freeze=False",185,78.34,740,"4,8",NA,NA,3578880.0
"Exp_A: grc=False, freeze=False",186,77.92,744,"8,3",NA,NA,3578880.0
"Exp_A: grc=False, freeze=False",187,68.75,748,"5,4",NA,NA,3578880.0
"Exp_A: grc=False, freeze=False",188,73.47,752,"3,8",NA,NA,3578880.0
"Exp_A: grc=False, freeze=False",189,74.75,756,"6,4",NA,NA,3578880.0
"Exp_A: grc=False, freeze=False",190,73.92999999999999,760,"4,6",NA,NA,3578880.0
"Exp_A: grc=False, freeze=False",191,78.97999999999999,764,"5,9",NA,NA,3578880.0
"Exp_A: grc=False, freeze=False",192,75.7,768,"3,1",NA,NA,3578880.0
"Exp_A: grc=False, freeze=False",193,83.50999999999999,772,"4,9",NA,NA,3578880.0
"Exp_A: grc=False, freeze=False",194,81.21000000000001,776,"3,1",NA,NA,3578880.0
"Exp_A: grc=False, freeze=False",195,79.41,780,"3,6",NA,NA,3578880.0
"Exp_A: grc=False, freeze=False",196,83.67999999999999,784,"8,2",NA,NA,3578880.0
"Exp_A: grc=False, freeze=False",197,83.12,788,"5,3",NA,NA,3578880.0
"Exp_A: grc=False, freeze=False",198,86.02,792,"6,7",NA,NA,3578880.0
"Exp_A: grc=False, freeze=False",199,84.31,796,"3,4",NA,NA,3578880.0
"Exp_A: grc=False, freeze=False",200,83.24000000000001,800,"8,5",NA,NA,3578880.0
"Exp_B: grc=True, freeze=False",1,18.87,4,"3,1",0.42508228125991887,0.5749177187400811,3578880.0
"Exp_B: grc=True, freeze=False",2,20.87,8,"1,3",0.6911043076954606,0.30889569230453934,3578880.0
"Exp_B: grc=True, freeze=False",3,11.39,12,"1,3",0.712001758592611,0.287998241407389,3578880.0
"Exp_B: grc=True, freeze=False",4,10.100000000000001,16,"1,3",0.671742136162587,0.3282578638374129,3578880.0
"Exp_B: grc=True, freeze=False",5,11.35,20,"1,3",0.7250716547513953,0.27492834524860466,3578880.0
"Exp_B: grc=True, freeze=False",6,20.47,24,"1,3",0.8477678377789312,0.15223216222106883,3578880.0
"Exp_B: grc=True, freeze=False",7,21.029999999999998,28,"1,3",0.7909479330655194,0.20905206693448067,3578880.0
"Exp_B: grc=True, freeze=False",8,21.099999999999998,32,"1,3",0.6426951741214983,0.3573048258785016,3578880.0
"Exp_B: grc=True, freeze=False",9,16.68,36,"0,1",0.5544599063586063,0.4455400936413937,3578880.0
"Exp_B: grc=True, freeze=False",10,21.07,40,"1,0",0.8419814603157756,0.15801853968422439,3578880.0
"Exp_B: grc=True, freeze=False",11,21.08,44,"1,0",0.7296108153250126,0.2703891846749874,3578880.0
"Exp_B: grc=True, freeze=False",12,21.08,48,"1,0",0.6246423018200227,0.3753576981799774,3578880.0
"Exp_B: grc=True, freeze=False",13,21.08,52,"1,0",0.6107563757245863,0.3892436242754137,3578880.0
"Exp_B: grc=True, freeze=False",14,21.08,56,"1,0",0.5765174225398497,0.4234825774601502,3578880.0
"Exp_B: grc=True, freeze=False",15,20.74,60,"1,3",0.5525486780311788,0.44745132196882126,3578880.0
"Exp_B: grc=True, freeze=False",16,21.66,64,"1,0",0.8688650024491111,0.13113499755088884,3578880.0
"Exp_B: grc=True, freeze=False",17,21.099999999999998,68,"1,0",0.8203273547858687,0.17967264521413126,3578880.0
"Exp_B: grc=True, freeze=False",18,21.09,72,"1,0",0.7709066663722511,0.2290933336277488,3578880.0
"Exp_B: grc=True, freeze=False",19,21.099999999999998,76,"1,0",0.7480086696833026,0.25199133031669735,3578880.0
"Exp_B: grc=True, freeze=False",20,21.099999999999998,80,"1,0",0.7460160318569072,0.2539839681430927,3578880.0
"Exp_B: grc=True, freeze=False",21,21.11,84,"1,0",0.7500885126998983,0.24991148730010168,3578880.0
"Exp_B: grc=True, freeze=False",22,21.11,88,"1,0",0.7491073060086646,0.2508926939913354,3578880.0
"Exp_B: grc=True, freeze=False",23,21.11,92,"1,0",0.7401552753067543,0.25984472469324577,3578880.0
"Exp_B: grc=True, freeze=False",24,21.12,96,"1,0",0.7370624253221166,0.26293757467788337,3578880.0
"Exp_B: grc=True, freeze=False",25,21.12,100,"1,0",0.7448675942362889,0.2551324057637111,3578880.0
"Exp_B: grc=True, freeze=False",26,21.12,104,"1,0",0.7459033693429125,0.2540966306570875,3578880.0
"Exp_B: grc=True, freeze=False",27,21.12,108,"1,0",0.7539583094714414,0.24604169052855865,3578880.0
"Exp_B: grc=True, freeze=False",28,21.12,112,"1,0",0.7380021045455593,0.26199789545444074,3578880.0
"Exp_B: grc=True, freeze=False",29,21.12,116,"1,0",0.7266226414832533,0.2733773585167467,3578880.0
"Exp_B: grc=True, freeze=False",30,21.12,120,"1,0",0.7381646372395071,0.2618353627604929,3578880.0
"Exp_B: grc=True, freeze=False",31,21.12,124,"1,0",0.7371792977796223,0.2628207022203776,3578880.0
